val,time
0.1,1.398769999999992e-4
1.0e-2,1.4328299999999975e-4
1.0e-3,1.447079999999994e-4
1.0e-4,1.4379699999999952e-4
1.0e-5,1.428909999999994e-4
1.0e-6,1.437859999999992e-4
1.0e-7,1.4306e-4
1.0e-8,1.4482299999999973e-4
1.0e-9,1.4444699999999972e-4
1.0e-10,1.48098e-4
1.0e-11,1.455429999999995e-4
1.0e-12,1.4479699999999943e-4
1.0e-13,1.433279999999999e-4
1.0e-14,1.4231099999999935e-4
1.0e-15,1.4154999999999954e-4
1.0e-16,1.462229999999996e-4
1.0e-17,1.4518400000000008e-4
1.0e-18,1.4125199999999983e-4
1.0e-19,1.4274199999999974e-4
1.0e-20,1.4087599999999963e-4
1.0e-21,1.4103199999999943e-4
1.0e-22,1.4322499999999948e-4
1.0e-23,1.412039999999996e-4
1.0000000000000001e-24,1.4215599999999984e-4
9.999999999999999e-26,1.4380799999999985e-4
9.999999999999999e-27,1.4262699999999923e-4
1.0e-27,1.3990699999999934e-4
1.0000000000000001e-28,1.4386799999999893e-4
1.0000000000000001e-29,1.452009999999994e-4
9.999999999999999e-31,1.4639499999999996e-4
1.0e-31,1.450499999999991e-4
9.999999999999999e-33,1.4523099999999963e-4
1.0e-33,1.4145099999999974e-4
1.0000000000000001e-34,1.4273999999999957e-4
1.0e-35,1.4423499999999942e-4
1.0e-36,1.4777699999999938e-4
1.0e-37,1.4970999999999946e-4
1.0e-38,1.4195800000000022e-4
1.0000000000000001e-39,1.5334599999999957e-4
1.0e-40,1.4063799999999935e-4
1.0e-41,1.4431399999999972e-4
9.999999999999999e-43,1.475319999999995e-4
1.0e-43,1.4089699999999945e-4
1.0e-44,1.4578799999999964e-4
1.0000000000000001e-45,1.4490299999999975e-4
1.0e-46,1.4349299999999907e-4
1.0e-47,1.4514699999999925e-4
1.0e-48,1.5022999999999968e-4
1.0000000000000001e-49,1.4853399999999965e-4
9.999999999999999e-51,1.4671099999999997e-4
1.0e-51,1.443379999999995e-4
1.0e-52,1.4339899999999965e-4
1.0e-53,1.465069999999997e-4
9.999999999999999e-55,1.4549699999999994e-4
1.0e-55,1.4345299999999925e-4
9.999999999999999e-57,1.480929999999997e-4
1.0e-57,1.430209999999991e-4
1.0e-58,1.419949999999994e-4
1.0e-59,1.4433599999999985e-4
1.0000000000000001e-60,1.458399999999997e-4
1.0e-61,1.4611799999999963e-4
1.0e-62,1.4525699999999958e-4
9.999999999999999e-64,1.4446799999999948e-4
1.0e-64,1.4783799999999934e-4
1.0e-65,1.4719600000000018e-4
1.0000000000000001e-66,1.4623199999999972e-4
1.0e-67,1.4526299999999997e-4
1.0e-68,1.4381599999999946e-4
1.0e-69,1.4395799999999956e-4
1.0e-70,1.443989999999996e-4
1.0e-71,1.4454299999999934e-4
1.0000000000000001e-72,1.4736499999999997e-4
1.0e-73,1.4618599999999957e-4
1.0e-74,1.420799999999995e-4
1.0000000000000001e-75,1.4803699999999984e-4
1.0e-76,1.442519999999995e-4
1.0e-77,1.4610099999999966e-4
1.0e-78,1.477549999999997e-4
1.0e-79,1.4888399999999944e-4
1.0e-80,1.4883099999999966e-4
1.0000000000000001e-81,1.4488499999999922e-4
1.0000000000000001e-82,1.4534499999999988e-4
1.0e-83,1.4892099999999956e-4
9.999999999999999e-85,1.4808099999999918e-4
1.0e-85,1.4402899999999973e-4
9.999999999999999e-87,1.4686999999999968e-4
1.0e-87,1.4402199999999932e-4
1.0000000000000001e-88,1.4268499999999993e-4
1.0e-89,1.468590000000002e-4
1.0e-90,1.4584199999999935e-4
9.999999999999999e-92,1.4551499999999965e-4
1.0e-92,1.4376999999999936e-4
1.0e-93,1.4385099999999937e-4
1.0e-94,1.4529599999999962e-4
1.0e-95,1.4273399999999953e-4
1.0e-96,1.4469899999999984e-4
9.999999999999999e-98,1.4595899999999946e-4
1.0e-98,1.4593199999999952e-4
1.0e-99,1.4361599999999954e-4
1.0e-100,1.4540299999999952e-4
