val,time
0.1,5.332196999999998e-3
1.0e-2,4.816248000000003e-3
1.0e-3,4.615061000000002e-3
1.0e-4,4.600752000000003e-3
1.0e-5,4.600347999999994e-3
1.0e-6,4.588377999999997e-3
1.0e-7,4.594601000000001e-3
1.0e-8,4.594448e-3
1.0e-9,4.599607999999997e-3
1.0e-10,4.591206999999997e-3
1.0e-11,4.6056510000000005e-3
1.0e-12,4.591039999999995e-3
1.0e-13,4.596256000000001e-3
1.0e-14,4.584309999999996e-3
1.0e-15,4.612638000000005e-3
1.0e-16,4.619262999999993e-3
1.0e-17,4.582657e-3
1.0e-18,4.577391999999999e-3
1.0e-19,4.569917000000003e-3
1.0e-20,4.572369000000006e-3
1.0e-21,4.563669000000004e-3
1.0e-22,4.578517000000001e-3
1.0e-23,4.565614000000001e-3
1.0000000000000001e-24,4.568909999999998e-3
9.999999999999999e-26,4.582100999999991e-3
9.999999999999999e-27,4.578691000000003e-3
1.0e-27,4.572388e-3
1.0000000000000001e-28,4.592868999999992e-3
1.0000000000000001e-29,4.578008000000007e-3
9.999999999999999e-31,4.571050999999995e-3
1.0e-31,4.5741920000000056e-3
9.999999999999999e-33,4.565435000000001e-3
1.0e-33,4.561058000000005e-3
1.0000000000000001e-34,4.591608999999997e-3
1.0e-35,4.5904280000000006e-3
1.0e-36,4.622560999999998e-3
1.0e-37,4.609749999999996e-3
1.0e-38,4.581022000000005e-3
1.0000000000000001e-39,4.620708999999998e-3
1.0e-40,4.6002309999999946e-3
1.0e-41,4.643619000000005e-3
9.999999999999999e-43,4.604469000000003e-3
1.0e-43,4.591234000000006e-3
1.0e-44,4.648999000000005e-3
1.0000000000000001e-45,4.617552999999995e-3
1.0e-46,4.573745000000001e-3
1.0e-47,4.575818999999998e-3
1.0e-48,4.5837210000000015e-3
1.0000000000000001e-49,4.633841999999994e-3
9.999999999999999e-51,4.593319e-3
1.0e-51,4.609106000000003e-3
1.0e-52,4.599364000000011e-3
1.0e-53,4.568783999999999e-3
9.999999999999999e-55,4.621309000000005e-3
1.0e-55,4.608542999999998e-3
9.999999999999999e-57,4.621197e-3
1.0e-57,4.659653000000003e-3
1.0e-58,4.599484999999998e-3
1.0e-59,4.61691599999999e-3
1.0000000000000001e-60,4.612172999999998e-3
1.0e-61,4.598353000000005e-3
1.0e-62,4.5750960000000085e-3
9.999999999999999e-64,4.573011999999999e-3
1.0e-64,4.569522000000003e-3
1.0e-65,4.571398000000002e-3
1.0000000000000001e-66,4.607250999999997e-3
1.0e-67,4.570172e-3
1.0e-68,4.586035000000004e-3
1.0e-69,4.569304999999995e-3
1.0e-70,4.594507999999996e-3
1.0e-71,4.60602499999999e-3
1.0000000000000001e-72,4.597084000000007e-3
1.0e-73,4.609660999999996e-3
1.0e-74,4.614926999999996e-3
1.0000000000000001e-75,4.614375999999998e-3
1.0e-76,4.609911999999999e-3
1.0e-77,4.587059999999998e-3
1.0e-78,4.604940999999999e-3
1.0e-79,4.607275999999997e-3
1.0e-80,4.618414e-3
1.0000000000000001e-81,4.609723999999995e-3
1.0000000000000001e-82,4.591679999999995e-3
1.0e-83,4.632061000000006e-3
9.999999999999999e-85,4.608171000000005e-3
1.0e-85,4.602054999999991e-3
9.999999999999999e-87,4.601604000000005e-3
1.0e-87,4.595619000000004e-3
1.0000000000000001e-88,4.608247999999994e-3
1.0e-89,4.650410000000001e-3
1.0e-90,4.597017000000006e-3
9.999999999999999e-92,4.622771000000005e-3
1.0e-92,4.607557000000001e-3
1.0e-93,4.605949999999996e-3
1.0e-94,4.616681999999998e-3
1.0e-95,4.5878610000000064e-3
1.0e-96,4.583954000000004e-3
9.999999999999999e-98,4.577253000000001e-3
1.0e-98,4.631319e-3
1.0e-99,4.614812999999999e-3
1.0e-100,4.582516000000001e-3
